node,build_smr,build_electrolyzer,transportationFuel_tonnesperday,industrialFuel_tonnesperday,existing_tonnesperday
brazoria,1,1,0,0,538
freeport,1,1,100,0,538
chocolateBay,1,1,0,0,538
texasCity,1,1,100,0,538
laPorte,1,1,0,0,538
sanJacinto,1,1,0,0,538
deerPark,1,1,0,0,538
pasadena,1,1,100,0,538
channelview,1,1,0,0,538
montBelvieu,1,1,0,0,538
baytown,1,1,0,0,538
portArthur,1,1,0,0,538
medicalCenter,0,0,0,0,0
beaumont,1,1,0,0,538
orange,1,1,0,0,538
elPaso,0,0,286,0,0
vanHorn,0,0,286,0,0
sonora,0,0,165,0,0
midland,0,0,220,0,0
abilene,0,0,330,0,0
texarkana,0,0,220,0,0
waco,0,0,528,0,0
centerville,0,0,242,0,0
corpusChristi,0,0,330,0,0
mcallen,0,0,308,0,0
laredo,0,0,330,0,0
houston,0,0,506,0,0
sanAntonio,0,0,1001,0,0
austin,0,0,616,0,0
dallas,0,0,1144,0,0
