producer,can_ccs1,can_ccs2,ccs1_capacity_co2,ccs1_capacity_h2,ccs1_hblack,ccs2_capacity_co2,ccs2_capacity_h2,ccs2_hblack,co2_producer,prod_capacity,prod_carbonRate,prod_cost_capital_coeff,prod_cost_fixed,prod_cost_variable,prod_h,prod_hblack,prod_kwh_variable_coeff,prod_ng_variable_coeff,prod_utilization
baytown_production_smr,1,1,0.0,0.0,0.0,0.0,0.0,0.0,945.0,116.666666666667,9.0,425000.0,70.0,90.0,105.0,0.0,570.0,156.25,0.9
baytown_production_smrExisting,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4164.48,482.0,9.6,0.0,0.0,100.0,433.8,0.0,600.0,165.0,0.9
brazoria_production_smr,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4842.0,597.777777777778,9.0,425000.0,70.0,90.0,538.0,0.0,570.0,156.25,0.9
channelview_production_smr,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2889.9,356.777777777778,9.0,425000.0,70.0,90.0,321.1,0.0,570.0,156.25,0.9
channelview_production_smrExisting,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2082.24,241.0,9.6,0.0,0.0,100.0,216.9,0.0,600.0,165.0,0.9
chocolateBay_production_smr,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4842.0,597.777777777778,9.0,425000.0,70.0,90.0,538.0,370.3,570.0,156.25,0.9
deerPark_production_smr,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4842.0,597.777777777778,9.0,425000.0,70.0,90.0,538.0,538.0,570.0,156.25,0.9
freeport_production_smr,1,1,0.0,0.0,0.0,0.0,0.0,0.0,9937.8,1226.88888888889,9.0,425000.0,70.0,90.0,1104.2,1104.2,570.0,156.25,0.9
freeport_production_smrExisting,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4164.48,482.0,9.6,0.0,0.0,100.0,433.8,0.0,600.0,165.0,0.9
laPorte_production_smrExisting,1,1,0.0,0.0,0.0,0.0,0.0,0.0,10920.96,1264.0,9.6,0.0,0.0,100.0,1137.6,0.0,600.0,165.0,0.9
montBelvieu_production_smr,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1807.2,223.111111111111,9.0,425000.0,70.0,90.0,200.8,0.0,570.0,156.25,0.9
montBelvieu_production_smrExisting,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2082.24,241.0,9.6,0.0,0.0,100.0,216.9,0.0,600.0,165.0,0.9
orange_production_smr,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4492.8,554.666666666667,9.0,425000.0,70.0,90.0,499.2,0.0,570.0,156.25,0.9
pasadena_production_smr,1,1,0.0,0.0,0.0,0.0,0.0,0.0,33577.83,4145.41111111111,9.0,425000.0,70.0,90.0,3730.87,0.0,570.0,156.25,0.9
pasadena_production_smrExisting,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4164.48,482.0,9.6,0.0,0.0,100.0,433.8,0.0,600.0,165.0,0.9
portArthur_production_smrExisting,1,1,0.0,0.0,0.0,0.0,0.0,0.0,16649.28,1927.0,9.6,0.0,0.0,100.0,1734.3,0.0,600.0,165.0,0.9
sanJacinto_production_smr,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4287.6,529.333333333333,9.0,425000.0,70.0,90.0,476.4,0.0,570.0,156.25,0.9
texasCity_production_smrExisting,1,1,0.0,0.0,0.0,0.0,0.0,0.0,28080.0,3252.0,9.6,0.0,0.0,100.0,2925.0,0.0,600.0,165.0,0.9
