,producer,can_ccs1,can_ccs2,ccs1_capacity_co2,ccs1_capacity_h2,ccs1_hblack,ccs2_capacity_co2,ccs2_capacity_h2,ccs2_hblack,co2_producer,prod_capacity,prod_carbonRate,prod_cost_capital_coeff,prod_cost_fixed,prod_cost_variable,prod_h,prod_hblack,prod_kwh_variable_coeff,prod_ng_variable_coeff,prod_utilization
0,'baytown_production_electrolyzer',0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.0,1725000,230,0,0.0,0.0,56300,0.0,0.975
1,'baytown_production_smr',1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,425000,70,90,0.0,0.0,570,156.25,0.9
2,'baytown_production_smrExisting',1,1,0.0,0.0,0.0,0.0,0.0,0.0,4164.48,482.0,9.6,0,0,100,433.8,97.5,600,165.0,0.9
3,'beaumont_production_electrolyzer',0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.0,1725000,230,0,0.0,0.0,56300,0.0,0.975
4,'beaumont_production_smr',1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,425000,70,90,0.0,0.0,570,156.25,0.9
5,'brazoria_production_electrolyzer',0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.0,1725000,230,0,0.0,0.0,56300,0.0,0.975
6,'brazoria_production_smr',1,1,0.0,0.0,0.0,0.0,0.0,0.0,4842.0,597.777777777778,9.0,425000,70,90,538.0,0.0,570,156.25,0.9
7,'channelview_production_electrolyzer',0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.0,1725000,230,0,0.0,0.0,56300,0.0,0.975
8,'channelview_production_smr',1,1,0.0,0.0,0.0,0.0,0.0,0.0,1696.5,209.444444444444,9.0,425000,70,90,188.5,0.0,570,156.25,0.9
9,'channelview_production_smrExisting',1,1,0.0,0.0,0.0,0.0,0.0,0.0,2082.24,241.0,9.6,0,0,100,216.9,0.0,600,165.0,0.9
10,'chocolateBay_production_electrolyzer',0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.0,1725000,230,0,0.0,0.0,56300,0.0,0.975
11,'chocolateBay_production_smr',1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,425000,70,90,0.0,0.0,570,156.25,0.9
12,'deerPark_production_electrolyzer',0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.0,1725000,230,0,0.0,0.0,56300,0.0,0.975
13,'deerPark_production_smr',1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,425000,70,90,0.0,0.0,570,156.25,0.9
14,'freeport_production_electrolyzer',0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.0,1725000,230,0,0.0,0.0,56300,0.0,0.975
15,'freeport_production_smr',1,1,0.0,0.0,0.0,0.0,0.0,0.0,937.8,115.777777777778,9.0,425000,70,90,104.2,0.0,570,156.25,0.9
16,'freeport_production_smrExisting',1,1,0.0,0.0,0.0,0.0,0.0,0.0,4164.48,482.0,9.6,0,0,100,433.8,0.0,600,165.0,0.9
17,'laPorte_production_electrolyzer',0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.0,1725000,230,0,0.0,0.0,56300,0.0,0.975
18,'laPorte_production_smr',1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,425000,70,90,0.0,0.0,570,156.25,0.9
19,'laPorte_production_smrExisting',1,1,0.0,0.0,0.0,0.0,0.0,0.0,3750.24,1264.0,9.6,0,0,100,390.65,0.0,600,165.0,0.9
20,'montBelvieu_production_electrolyzer',0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.0,1725000,230,0,0.0,0.0,56300,0.0,0.975
21,'montBelvieu_production_smr',1,1,0.0,0.0,0.0,0.0,0.0,0.0,1807.2,223.111111111111,9.0,425000,70,90,200.8,0.0,570,156.25,0.9
22,'montBelvieu_production_smrExisting',1,1,0.0,0.0,0.0,0.0,0.0,0.0,2082.24,241.0,9.6,0,0,100,216.9,0.0,600,165.0,0.9
23,'orange_production_electrolyzer',0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.0,1725000,230,0,0.0,0.0,56300,0.0,0.975
24,'orange_production_smr',1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,425000,70,90,0.0,0.0,570,156.25,0.9
25,'pasadena_production_electrolyzer',0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.0,1725000,230,0,0.0,0.0,56300,0.0,0.975
26,'pasadena_production_smr',1,1,0.0,0.0,0.0,0.0,0.0,0.0,937.8,115.777777777778,9.0,425000,70,90,104.2,0.0,570,156.25,0.9
27,'pasadena_production_smrExisting',1,1,0.0,0.0,0.0,0.0,0.0,0.0,4164.48,482.0,9.6,0,0,100,433.8,0.0,600,165.0,0.9
28,'portArthur_production_electrolyzer',0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.0,1725000,230,0,0.0,0.0,56300,0.0,0.975
29,'portArthur_production_smr',1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,425000,70,90,0.0,0.0,570,156.25,0.9
30,'portArthur_production_smrExisting',1,1,0.0,0.0,0.0,0.0,0.0,0.0,16649.28,1927.0,9.6,0,0,100,1734.3,0.0,600,165.0,0.9
31,'sanJacinto_production_electrolyzer',0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.0,1725000,230,0,0.0,0.0,56300,0.0,0.975
32,'sanJacinto_production_smr',1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,425000,70,90,0.0,0.0,570,156.25,0.9
33,'texasCity_production_electrolyzer',0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.0,1725000,230,0,0.0,0.0,56300,0.0,0.975
34,'texasCity_production_smr',1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,425000,70,90,0.0,0.0,570,156.25,0.9
35,'texasCity_production_smrExisting',1,1,0.0,0.0,0.0,0.0,0.0,0.0,28097.28,3252.0,9.6,0,0,100,2926.8,0.0,600,165.0,0.9
