startNode,endNode,kmLength,exist_pipeline
austin,sonora,280.137377936348,0
chocolateBay,brazoria,42.99107266059849,0
sanAntonio,corpusChristi,209.40895372163575,0
mcallen,corpusChristi,194.29078020807313,0
texasCity,laPorte,30.286581619132242,1
freeport,brazoria,23.836919969875616,1
laPorte,channelview,16.246607904437795,0
pasadena,channelview,12.5558792405799,1
laPorte,deerPark,9.815778185416573,0
baytown,montBelvieu,16.812602988895055,1
sanAntonio,waco,270.26971761168824,0
midland,sonora,208.7993834255744,0
austin,abilene,307.0178507333047,0
texasCity,sanJacinto,17.44613596179554,0
channelview,montBelvieu,22.703042934239342,1
houston,austin,235.3153790490185,0
abilene,dallas,278.4050374449171,0
montBelvieu,portArthur,92.96445221536815,1
brazoria,austin,250.23263200640358,0
sanJacinto,freeport,66.66499273012936,0
baytown,deerPark,12.409474956931005,0
chocolateBay,freeport,32.497260427097935,1
austin,centerville,201.07087406608164,0
deerPark,houston,25.647451827902184,0
sanAntonio,austin,118.13950333324297,0
abilene,sonora,225.1183615650493,0
pasadena,medicalCenter,19.235722927919618,0
montBelvieu,beaumont,80.50560499631081,0
texasCity,brazoria,72.46710029318749,0
elPaso,vanHorn,176.10504575355236,0
deerPark,pasadena,7.604767548503793,1
channelview,medicalCenter,28.110915413861388,0
brazoria,sanAntonio,287.75224151850904,0
laredo,corpusChristi,209.0875748210659,0
elPaso,midland,417.5019028396985,0
austin,waco,155.001522855909,0
waco,dallas,137.61483171141504,0
centerville,dallas,185.02179942102228,0
mcallen,sanAntonio,357.36411630113355,0
chocolateBay,texasCity,31.37770608387654,1
texasCity,freeport,63.75669881669772,0
chocolateBay,sanJacinto,37.329211888628585,0
pasadena,houston,18.504189152778327,0
waco,texarkana,355.96219241619224,0
elPaso,sonora,571.2795569970334,0
mcallen,laredo,193.7861454384415,0
orange,beaumont,35.09493336300982,0
waco,abilene,262.9601152265041,0
sanAntonio,sonora,242.56709790161662,0
deerPark,montBelvieu,28.0587169439311,0
baytown,laPorte,8.862522485907965,0
channelview,houston,24.926921485683412,0
laPorte,pasadena,17.055172164647317,0
centerville,waco,116.42732801316934,0
houston,centerville,175.6123245608849,0
portArthur,beaumont,26.474868623370135,1
deerPark,channelview,9.774558382818967,1
baytown,sanJacinto,52.12954449366494,1
midland,vanHorn,281.9277691470812,0
abilene,midland,225.03247082120697,0
medicalCenter,houston,5.881522195313208,0
texarkana,beaumont,369.5952952594229,0
portArthur,orange,28.35716449075463,1
houston,texarkana,424.42047568724524,0
laredo,sanAntonio,231.69154767041627,0
centerville,texarkana,300.7302317708663,0
houston,brazoria,80.80250079782708,0
laPorte,sanJacinto,45.843572823573595,1
austin,dallas,291.9686392844152,0
baytown,channelview,12.424627783738389,0
deerPark,medicalCenter,26.810802839675713,0
brazoria,corpusChristi,227.6078226035735,0
sanJacinto,deerPark,54.21916490376156,1
laPorte,montBelvieu,25.359748851575674,0
sanJacinto,brazoria,80.31409251926824,0
sonora,vanHorn,403.23242479331117,0
texarkana,dallas,265.83047018786226,0
