startHub,endHub,kmLength_euclid,kmLength_road,exist_pipeline
montBelvieu,deerPark,28.0587169439311,36.3369,0
waco,arlington,128.85338078229546,159.077,0
vanHorn,midland,281.9277691470812,298.63329999999996,0
fortWorth,waco,131.60463660735294,142.6488,0
centerville,tyler,136.80549943545418,156.6679,0
frisco,texarkana,260.9341334083739,288.6454,0
irving,grandPrairie,8.729299413811473,12.2188,0
richardson,allen,16.52440390425203,17.6281,0
plano,allen,9.242679919453662,11.2509,0
mesquiteCity,waco,141.9765888006038,165.55679999999998,0
odessa,sanAngelo,187.863963776545,213.724,0
channelview,deerPark,9.774558382818967,16.971,1
denton,carrolton,34.90105920966511,38.8397,0
abilene,arlington,248.81364345334498,266.2938,0
medicalCenter,pearland,22.106429372269194,31.1772,0
channelview,houston,24.926921485683412,26.7532,0
roundRock,waco,127.87761596068854,137.555,0
pearland,houston,25.56560998446138,30.3089,0
corpusChristi,sanAntonio,209.40895372163575,230.24470000000002,0
brownsville,mcallen,80.67842817082094,95.79860000000001,0
lubbock,odessa,198.41143045001303,223.8335,0
frisco,carrolton,20.049777596240823,25.360400000000002,0
garland,dallas,21.129161350231087,23.4295,0
theWoodlands,collegeStation,97.8947219648567,109.94630000000001,0
lewisville,carrolton,12.642171447347433,15.0745,0
grandPrairie,fortWorth,30.319080504604553,32.145900000000005,0
sanAngelo,sonora,100.81205901640246,105.9294,0
elPaso,midland,417.5019028396985,492.2622,0
sonora,abilene,225.1183615650493,251.35410000000002,0
irving,dallas,15.482059307267265,18.5552,0
sonora,sanAntonio,242.56709790161662,274.3904,0
sonora,midland,208.7993834255744,259.3478,0
freeport,brazoria,23.836919969875616,28.2952,1
baytown,laPorte,8.862522485907965,11.1418,0
irving,fortWorth,35.79328552185217,41.4754,0
roundRock,austin,27.447819058756952,30.8415,0
elPaso,vanHorn,176.10504575355236,194.9758,0
deerPark,leagueCity,20.70596371774095,32.4894,0
midland,abilene,225.03247082120697,237.39929999999998,0
texasCity,leagueCity,20.34533618264721,22.5332,0
collegeStation,houston,132.27910541051517,153.3667,0
killeen,waco,74.46079836291078,97.984,0
roundRock,collegeStation,129.95877484005356,159.20020000000002,0
carrolton,dallas,23.58400416507769,31.351599999999998,0
garland,mesquiteCity,17.120940677630546,18.854400000000002,0
sanJacinto,laPorte,45.843572823573595,55.707800000000006,1
mesquiteCity,dallas,18.993983482759376,23.888099999999998,0
laPorte,leagueCity,17.738508753571267,22.6132,0
medicalCenter,pasadena,19.235722927919618,22.808799999999998,0
lubbock,midland,176.7209974804387,190.58589999999998,0
baytown,channelview,12.424627783738389,17.9516,0
collegeStation,centerville,77.92434441807428,104.0085,0
texarkana,tyler,166.7011673573947,185.78289999999998,0
wichitaFalls,abilene,198.61460162604877,245.33360000000002,0
killeen,austin,93.97386910191555,108.5337,0
plano,tyler,151.16293217678705,176.08360000000002,0
baytown,montBelvieu,16.812602988895055,20.0458,1
odessa,amarillo,375.3821626218418,418.7808,0
garland,plano,13.165422145390389,18.3081,0
richardson,texarkana,255.19254242252265,292.2574,0
corpusChristi,laredo,209.0875748210659,225.1627,0
sugarLand,houston,26.43262242052796,29.9605,0
frisco,mcKinney,21.15329817070292,24.799400000000002,0
sanJacinto,chocolateBay,37.329211888628585,52.7346,0
portArthur,orange,28.35716449075463,30.329099999999997,1
grandPrairie,dallas,20.08328930954687,22.283900000000003,0
freeport,pearland,67.25352663188237,88.8244,0
collegeStation,sanAntonio,247.19971073601138,286.18609999999995,0
baytown,deerPark,12.409474956931005,17.122400000000003,0
chocolateBay,freeport,32.497260427097935,49.76,1
plano,carrolton,18.508738520680353,23.214599999999997,0
richardson,carrolton,14.768124558929726,26.1451,0
wichitaFalls,arlington,183.42788052646438,204.2681,0
garland,richardson,10.368215924644423,13.1865,0
baytown,sanJacinto,52.12954449366494,65.5758,1
chocolateBay,brazoria,42.99107266059849,54.6454,0
pasadena,laPorte,17.055172164647317,18.8354,0
sanAngelo,abilene,127.72141189490513,144.06070000000003,0
pasadena,houston,18.504189152778327,22.5835,0
frisco,plano,19.11839408421979,31.8049,0
sanJacinto,deerPark,54.21916490376156,64.9083,1
laPorte,texasCity,30.286581619132242,33.5196,1
killeen,roundRock,67.4192248798925,79.68719999999999,0
sanJacinto,freeport,66.66499273012936,73.343,0
fortWorth,arlington,20.944660751014425,24.6067,0
brownsville,corpusChristi,210.28329771985707,262.8872,0
brownsville,laredo,269.1301877722119,330.2869,0
collegeStation,waco,131.24383760216693,147.9395,0
tyler,dallas,148.53213191695363,158.29270000000002,0
pasadena,channelview,12.5558792405799,17.3659,1
brazoria,pearland,62.99815265174107,77.0827,0
abilene,amarillo,361.6912159332636,457.7699,0
midland,amarillo,356.01371691190184,385.5575,0
mesquiteCity,richardson,25.408452204399012,33.1098,0
mcKinney,tyler,155.37735995997795,197.3654,0
odessa,sonora,217.27696825755146,275.6224,0
freeport,leagueCity,65.99324037227845,83.7663,0
odessa,elPaso,388.6995644632361,456.8795,0
mcKinney,allen,12.139138162535083,13.9175,0
richardson,dallas,21.02428448567453,22.7943,0
lubbock,amarillo,179.90391463424515,195.31889999999999,0
plano,texarkana,250.7673460251689,289.01309999999995,0
orange,beaumont,35.09493336300982,39.250699999999995,0
chocolateBay,leagueCity,35.479112878768035,42.8303,0
fortWorth,abilene,228.3156523967726,241.3391,0
waco,austin,155.001522855909,166.3991,0
collegeStation,austin,141.34098447646684,172.4275,0
richardson,tyler,150.84943446794517,167.7198,0
texarkana,carrolton,269.2189208797191,308.0067,0
theWoodlands,houston,44.72947793598457,46.877300000000005,0
frisco,denton,28.595157992052968,40.1425,0
lewisville,denton,22.6226009986605,24.6316,0
montBelvieu,beaumont,80.50560499631081,93.92869999999999,0
laredo,sanAntonio,231.69154767041627,248.3297,0
grandPrairie,arlington,9.538328694509561,10.0401,0
portArthur,beaumont,26.474868623370135,28.6259,1
plano,mcKinney,21.253567833328653,23.594099999999997,0
wichitaFalls,carrolton,181.77166756150254,201.2936,0
deerPark,houston,25.647451827902184,31.687099999999997,0
irving,arlington,16.658214676895884,22.861900000000002,0
sanJacinto,leagueCity,37.79054857217473,43.8694,0
pasadena,deerPark,7.604767548503793,9.293899999999999,1
texasCity,freeport,63.75669881669772,77.1481,0
tyler,allen,153.77036068209853,184.1517,0
theWoodlands,centerville,131.54805772187242,143.9494,0
texarkana,allen,246.9378654531278,273.23359999999997,0
waco,dallas,137.61483171141504,152.6381,0
frisco,allen,15.873460662392098,19.9415,0
brazoria,corpusChristi,227.6078226035735,263.6678,0
sanAngelo,midland,165.4162934231612,179.64970000000002,0
pasadena,pearland,16.378356994392256,21.5948,0
montBelvieu,laPorte,25.359748851575674,30.3563,0
leagueCity,brazoria,67.70291431139556,78.60239999999999,0
killeen,abilene,240.76503825612076,293.2795,0
abilene,dallas,278.4050374449171,294.1265,0
medicalCenter,sugarLand,21.867789701197584,26.303900000000002,0
killeen,sanAntonio,201.2141863456574,234.4894,0
garland,tyler,140.5003707020635,153.7495,0
medicalCenter,houston,5.881522195313208,7.1269,0
channelview,laPorte,16.246607904437795,27.7063,0
pearland,sugarLand,34.56975437161763,40.4244,0
texarkana,dallas,265.83047018786226,286.4202,0
texasCity,chocolateBay,31.37770608387654,41.4446,1
sugarLand,collegeStation,129.63087967844157,156.11010000000002,0
montBelvieu,channelview,22.703042934239342,25.7348,1
garland,texarkana,247.59186525691428,275.4432,0
houston,sanAntonio,304.50642831115135,313.8973,1
wichitaFalls,dallas,202.00172620435347,221.6245,0
fortWorth,wichitaFalls,168.11100963906105,184.5045,0
mcKinney,texarkana,239.97211331537326,261.8026,0
portArthur,montBelvieu,92.96445221536815,101.3634,1
mesquiteCity,tyler,130.15287872018658,139.17520000000002,0
denton,wichitaFalls,148.3144481350662,163.9881,0
corpusChristi,mcallen,194.29078020807313,250.9878,0
wichitaFalls,amarillo,337.9444928514588,359.0892,0
sanAntonio,austin,118.13950333324297,127.769,0
grandPrairie,waco,130.8267113594924,164.15439999999998,0
odessa,midland,32.927415767350844,38.379400000000004,0
plano,richardson,7.355460883887839,9.453,0
roundRock,sanAntonio,143.52163434916895,156.7972,0
odessa,vanHorn,249.4607629818991,263.0453,0
irving,waco,138.62858464332655,164.2569,0
lubbock,abilene,233.0288377076863,263.72020000000003,0
frisco,wichitaFalls,175.89521688924722,200.995,0
irving,carrolton,18.941246226643237,25.5902,0
lewisville,wichitaFalls,169.16023442311672,187.0554,0
mesquiteCity,texarkana,248.19391207076444,274.873,0
sanJacinto,texasCity,17.44613596179554,27.4135,0
waco,centerville,116.42732801316934,132.5418,0
deerPark,pearland,20.25115094588836,25.1827,0
brazoria,sugarLand,64.61515627621876,85.0518,0
frisco,lewisville,18.86968166746815,25.5153,0
mcallen,laredo,193.7861454384415,235.7149,0
leagueCity,pearland,16.627029844350478,19.649099999999997,0
laPorte,deerPark,9.815778185416573,13.194600000000001,0
